Ticker,Name,Price,Market Cap,GICS Ind Name,GICS Sector,Sec Type
AAPL UW Equity,Apple Inc,165.35,2657298939904,"Technology Hardware, Storage & Peripherals",Information Technology,Common Stock
MSFT UW Equity,Microsoft Corp,282.91,2109912252416,Software,Information Technology,Common Stock
GOOGL UW Equity,Alphabet Inc,117.47,1537232863232,Interactive Media & Services,Communication Services,Common Stock
GOOG UW Equity,Alphabet Inc,118.22,1537232863232,Interactive Media & Services,Communication Services,Common Stock
AMZN UW Equity,Amazon.com Inc,140.8,1434407665664,Internet & Direct Marketing Retail,Consumer Discretionary,Common Stock
TSLA UW Equity,Tesla Inc,864.51,902972047360,Automobiles,Consumer Discretionary,Common Stock
BRK/B UN Equity,Berkshire Hathaway Inc,292.07,645271322624,Diversified Financial Services,Financials,Common Stock
UNH UN Equity,UnitedHealth Group Inc,535.06,500485881856,Health Care Providers & Services,Health Care,Common Stock
NVDA UW Equity,NVIDIA Corp,189.89,474724990976,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
V UN Equity,Visa Inc,215.87,461089210368,IT Services,Information Technology,Common Stock
JNJ UN Equity,Johnson & Johnson,171.11,449878982656,Pharmaceuticals,Health Care,Common Stock
META UW Equity,Meta Platforms Inc,167.11,449116209152,Interactive Media & Services,Communication Services,Common Stock
XOM UN Equity,Exxon Mobil Corp,88.45,368627417088,"Oil, Gas & Consumable Fuels",Energy,Common Stock
WMT UN Equity,Walmart Inc,126.58,346974781440,Food & Staples Retailing,Consumer Staples,Common Stock
PG UN Equity,Procter & Gamble Co/The,144.72,345816236032,Household Products,Consumer Staples,Common Stock
MA UN Equity,Mastercard Inc,357.51,345489113088,IT Services,Information Technology,Common Stock
JPM UN Equity,JPMorgan Chase & Co,115.76,339474579456,Banks,Financials,Common Stock
HD UN Equity,Home Depot Inc/The,309.69,318285414400,Specialty Retail,Consumer Discretionary,Common Stock
CVX UN Equity,Chevron Corp,153.64,300740280320,"Oil, Gas & Consumable Fuels",Energy,Common Stock
LLY UN Equity,Eli Lilly & Co,301.32,286306664448,Pharmaceuticals,Health Care,Common Stock
PFE UN Equity,Pfizer Inc,49.27,276448837632,Pharmaceuticals,Health Care,Common Stock
